page,x,y,rough_std,line_ink,rough_edges,line_edges,same_f1,same_chamfer,shift_f1,shift_chamfer,dx,dy
0012,960,1920,33.18190271198699,0.03197482638888889,11939,4277,0.21667528947886955,16.83064889907837,0.24572147366878813,15.402677059173584,64,-16
0012,1920,2880,21.91159862468596,0.05782552083333333,4398,5071,0.2025849989891384,20.065357208251953,0.24642955305754727,18.147517204284668,-64,80
0012,3840,2880,35.56109583398353,0.07686197916666666,10197,3244,0.19495282310616757,18.54352045059204,0.23114338582192728,17.59367036819458,32,-16
0012,1920,3840,25.80597673167507,0.03828125,7130,3195,0.1833601429247865,20.046284675598145,0.24419895206408604,17.689115524291992,32,64
0012,960,960,29.395023002288923,0.030924479166666668,8091,3502,0.1793785671322035,19.68587017059326,0.2803862866226364,14.883153438568115,32,64
0012,960,5760,28.67469549988353,0.09267795138888889,5593,6857,0.17775290811772101,19.028151988983154,0.26387571116577707,16.85820960998535,32,32
0013,960,960,27.280988766146496,0.05421875,8555,5457,0.2788900046590522,15.87734317779541,0.3035175637359758,15.386629581451416,0,-16
0013,1920,1920,34.29679515587914,0.04220052083333333,11651,3032,0.22671017221763753,17.335699558258057,0.2535350908499367,16.15507221221924,0,32
0013,960,1920,21.97616737014933,0.060625,4934,4368,0.21122458430689128,20.482312202453613,0.3248412862468028,16.725668907165527,-96,64
0013,2880,5760,29.415667137451557,0.09091579861111111,8772,8133,0.18609825607591415,19.331040382385254,0.3563429109960825,14.032942771911621,48,64
0013,1920,960,25.350625255707627,0.05199652777777778,4506,6162,0.16989322979511576,19.904248237609863,0.24876737731031603,18.626025199890137,-32,80
0013,0,960,22.80989922505609,0.040924479166666666,5946,4285,0.15828317357252036,19.947176933288574,0.2510664281648214,18.784215927124023,96,16
0013,1920,3840,21.977506111264695,0.059383680555555554,3767,5019,0.14088175020652996,22.81223487854004,0.2405084202240858,18.5972843170166,96,48
0013,2880,960,24.744340281590016,0.061783854166666666,8369,5862,0.13774944126374794,20.608044624328613,0.21255069991042042,18.81088352203369,0,-96
