rank,name,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,edge_f1,chamfer,match_score,decision,notes
80,kuripm_0002_l1920_2880_r1888_2752.jpg,0002,page0002.clip,1920,2880,1888,2752,-32,-128,0.08309027777777778,0.5177063966764943,8.251907110214233,1.5630476212805502,,
81,kuripm_0025_l0960_2880_r0984_2784.jpg,0025,page0025.clip,960,2880,984,2784,24,-96,0.041805555555555554,0.5433448732181311,8.807441234588623,1.5620110744927056,,
82,kuripm_0006_l2880_2880_r3024_3056.jpg,0006,page0006.clip,2880,2880,3024,3056,144,176,0.043715277777777777,0.5134998823173397,8.289886236190796,1.5325078126210079,,
83,kuripm_0029_l0960_3840_r1112_3928.jpg,0029,page0029.clip,960,3840,1112,3928,152,88,0.03631510416666667,0.5576664347581565,9.256558895111084,1.5282347151799867,,
84,kuripm_0001_l1920_4800_r1976_4808.jpg,0001,page0001.clip,1920,4800,1976,4808,56,8,0.06634548611111112,0.5202474314562834,8.627745628356934,1.5043887255489752,,
85,kuripm_0019_l3840_2880_r3664_2960.jpg,0019,page0019.clip,3840,2880,3664,2960,-176,80,0.06527777777777778,0.5487086603636302,8.564769983291626,1.4737297444407442,,
86,kuripm_0010_l1920_4800_r2096_4976.jpg,0010,page0010.clip,1920,4800,2096,4976,176,176,0.0359765625,0.5118779350275497,8.264035701751709,1.460986867488606,,
87,kuripm_0008_l2880_5760_r2824_5720.jpg,0008,page0008.clip,2880,5760,2824,5720,-56,-40,0.019934895833333334,0.572784595565801,9.186938762664795,1.4472437879551523,,
88,kuripm_0005_l4481_2880_r4321_2848.jpg,0005,page0005.clip,4481,2880,4321,2848,-160,-32,0.04945746527777778,0.5069575884306129,8.228662490844727,1.4456658982204935,,
89,kuripm_0009_l1920_4800_r1912_4848.jpg,0009,page0009.clip,1920,4800,1912,4848,-8,48,0.07551649305555555,0.5186409324261521,9.033066511154175,1.4110823734298739,,
90,kuripm_0006_l0960_2880_r0800_3024.jpg,0006,page0006.clip,960,2880,800,3024,-160,144,0.06019965277777778,0.5410817027248437,8.427165269851685,1.3902984600455397,,
91,kuripm_0009_l2880_5760_r2896_5728.jpg,0009,page0009.clip,2880,5760,2896,5728,16,-32,0.0450390625,0.577076246712476,9.506672143936157,1.3829260360536837,,
92,kuripm_0015_l0000_4800_r0120_4920.jpg,0015,page0015.clip,0,4800,120,4920,120,120,0.01825520833333333,0.5784763377738231,10.235080242156982,1.37996999110364,,
93,kuripm_0001_l1920_1920_r1960_1872.jpg,0001,page0001.clip,1920,1920,1960,1872,40,-48,0.0628515625,0.5073114471297177,9.027823448181152,1.3628042539513179,,
94,kuripm_0001_l1920_5760_r1984_5736.jpg,0001,page0001.clip,1920,5760,1984,5736,64,-24,0.08168836805555556,0.5093582153431,9.043982028961182,1.342809320139083,,
95,kuripm_0001_l3840_0960_r3920_0912.jpg,0001,page0001.clip,3840,960,3920,912,80,-48,0.03289930555555556,0.4822127531234561,8.672006368637085,1.2952430355260494,,
96,kuripm_0002_l0960_3840_r0912_3736.jpg,0002,page0002.clip,960,3840,912,3736,-48,-104,0.11743055555555555,0.502708801627963,9.374031066894531,1.2067368529795492,,
97,kuripm_0026_l2880_4800_r2896_4800.jpg,0026,page0026.clip,2880,4800,2896,4800,16,0,0.03685329861111111,0.5373019888154318,10.203924179077148,1.1686011268896217,,
98,kuripm_0019_l1920_2880_r1760_2904.jpg,0019,page0019.clip,1920,2880,1760,2904,-160,24,0.017621527777777778,0.526548648337869,9.155886888504028,1.1575322069726695,,
99,kuripm_0039_l3840_5760_r3728_5880.jpg,0039,page0039.clip,3840,5760,3728,5880,-112,120,0.012565104166666667,0.5342944082037727,10.367370247840881,1.126206266812818,,
100,kuripm_0015_l0960_4800_r1136_4928.jpg,0015,page0015.clip,960,4800,1136,4928,176,128,0.027235243055555556,0.5303611669407393,10.156277179718018,1.1141039561991106,,
101,kuripm_0001_l1920_0960_r1952_0904.jpg,0001,page0001.clip,1920,960,1952,904,32,-56,0.04470920138888889,0.48753208599372805,9.771446943283081,1.0925488856479837,,
102,kuripm_0001_l2880_2880_r2976_2880.jpg,0001,page0001.clip,2880,2880,2976,2880,96,0,0.06697916666666667,0.5174132079280532,9.746670246124268,1.0816658704808804,,
103,kuripm_0019_l0960_0960_r0784_0976.jpg,0019,page0019.clip,960,960,784,976,-176,16,0.06112847222222222,0.48397229482207954,10.065736770629883,1.0497386575613867,,
104,kuripm_0013_l3840_3840_r3736_4000.jpg,0013,page0013.clip,3840,3840,3736,4000,-104,160,0.030785590277777778,0.4931003994891588,9.602171421051025,1.0224626575876683,,
105,kuripm_0015_l3840_1920_r3984_1992.jpg,0015,page0015.clip,3840,1920,3984,1992,144,72,0.016922743055555557,0.49282648814862434,10.011311769485474,1.0217756192210783,,
