rank,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,line_edges,rough_edges,rough_std,edge_f1,chamfer,orientation_entropy,match_score
649,0008,page0008.clip,3600,1440,3584,1376,-16,-64,0.029166666666666667,5524,2780,18.431325599229922,0.39144067494251183,11.684523820877075,0.3290463102673065,-0.11646434124901056
650,0031,page0031.clip,1440,2880,1480,2712,40,-168,0.0828125,7449,9117,21.77354319507801,0.3738139606301535,12.5774564743042,0.661920797697077,-0.11688485355241118
651,0018,page0018.clip,2160,5760,2088,5696,-72,-64,0.10462239583333334,6765,5498,35.69573282927074,0.403422359276213,13.532917499542236,0.7137894368048809,-0.11844015408347752
652,0022,page0022.clip,1440,1440,1624,1592,184,152,0.04724826388888889,4237,9242,33.76912940893097,0.4112141232724786,13.129467487335205,0.563037318834418,-0.11939302603711421
653,0002,page0002.clip,3600,5760,3568,5592,-32,-168,0.013424479166666666,979,5314,31.503247417631673,0.35746283250637845,11.224200248718262,0.4210842323466152,-0.12065850133446787
654,0014,page0014.clip,720,5040,896,5104,176,64,0.12592447916666666,8037,10408,28.82848375468361,0.3704441938692379,12.687283515930176,0.704504051527977,-0.12163249261746423
655,0029,page0029.clip,2160,4320,2336,4384,176,64,0.054526909722222225,4049,6123,31.771264413267787,0.4026644950880558,13.656350135803223,0.7416238127359495,-0.12464850153160634
656,0028,page0028.clip,720,720,656,576,-64,-144,0.035182291666666664,7428,14056,34.86060946444053,0.3553183014772121,12.20383596420288,0.670488741566118,-0.12778469220162159
657,0036,page0036.clip,3600,1440,3696,1616,96,176,0.06940538194444444,6320,13410,29.75498617895539,0.3942360556784523,13.465240001678467,0.7403972781672545,-0.12954989940962813
658,0015,page0015.clip,0,2160,160,2184,160,24,0.019952256944444444,960,1785,14.86850049079948,0.5018350786996302,14.793942928314209,0.3926541473762864,-0.13548987426366194
659,0021,page0021.clip,2880,1440,2928,1512,48,72,0.060286458333333334,3569,14256,43.85267130026896,0.3625833162652158,11.800416469573975,0.5087971652795195,-0.14012898036510069
660,0020,page0020.clip,1440,5040,1568,4960,128,-80,0.04079861111111111,4724,10067,43.72773719896862,0.3986788141309421,12.986370325088501,0.5786833942741928,-0.1409332789436355
661,0007,page0007.clip,1440,3600,1560,3424,120,-176,0.04688368055555556,3373,5827,20.14096009267337,0.410392030364784,13.73147201538086,0.6914275724860197,-0.14119219326343657
662,0022,page0022.clip,2880,3600,2864,3784,-16,184,0.012291666666666666,1549,2327,12.414293973040355,0.42128813769123374,13.611870765686035,0.5888251517725452,-0.14487334326300239
663,0011,page0011.clip,3600,3600,3696,3768,96,168,0.06931857638888889,5132,5701,16.888920467155337,0.3730884334886152,13.207674503326416,0.78781341497171,-0.14584200124483915
