rank,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,line_edges,rough_edges,rough_std,edge_f1,chamfer,orientation_entropy,match_score
42,0023,page0023.clip,1920,3840,2032,4016,112,176,0.06713107638888889,4116,8207,25.58377254870306,0.5773617762298651,6.963852643966675,0.73927024032072,2.0854545446125665
43,0015,page0015.clip,0,3840,144,3984,144,144,0.05743923611111111,1539,4220,22.124044359311082,0.5914147959539405,7.087426066398621,0.6803499509298545,2.083868727233862
44,0025,page0025.clip,1920,4800,1928,4696,8,-104,0.03204427083333333,2807,3446,25.432809603623706,0.6017296373379917,7.676359415054321,0.75634237148033,2.0784502008633585
45,0040,page0040.clip,1920,0,1856,168,-64,168,0.02506076388888889,3148,3574,16.82592930702251,0.6556518118195304,7.819433212280273,0.4172975041561602,2.0482104199665256
46,0011,page0011.clip,2880,2880,2992,3056,112,176,0.030299479166666667,2895,4717,16.12977137481726,0.5620123191649714,6.776889324188232,0.7200042400188177,2.0306871230022647
47,0005,page0005.clip,960,4800,1112,4928,152,128,0.027821180555555554,1242,3585,17.235760882800992,0.5983522142121525,7.290812373161316,0.5527008375196485,1.9757592664442176
48,0032,page0032.clip,1920,5760,1904,5632,-16,-128,0.015625,1379,2589,14.185468677635079,0.5957724773699117,7.6013405323028564,0.6440008335718259,1.9737949472464478
49,0001,page0001.clip,960,1920,1000,1792,40,-128,0.019639756944444444,1113,1787,18.217423055242744,0.6332555875093407,7.877686500549316,0.4668101242080258,1.9641887368032611
50,0032,page0032.clip,3840,960,3744,1048,-96,88,0.019600694444444445,2506,3727,20.456224742925222,0.6200139931931417,8.514189004898071,0.708104930971253,1.9637161097630964
51,0032,page0032.clip,960,4800,1008,4712,48,-88,0.016197916666666666,1169,3636,20.433835102933788,0.6050975870368973,8.685949087142944,0.800422825505011,1.9286363781599063
52,0029,page0029.clip,3840,3840,3888,3912,48,72,0.04467881944444444,4250,3699,25.583673814724392,0.6430595966477022,8.301207304000854,0.46493868393248355,1.9270074695843267
53,0040,page0040.clip,1920,1920,1848,2080,-72,160,0.023363715277777777,2106,2161,15.126252509485658,0.6321095910973652,8.873335361480713,0.6731714111433629,1.9244180121053736
54,0011,page0011.clip,960,3840,1112,4016,152,176,0.09578993055555556,4173,6525,24.30115456646227,0.5724779370754509,7.549066543579102,0.7038758885193138,1.9156770874768856
55,0028,page0028.clip,1920,5760,2088,5928,168,168,0.10118489583333333,7667,13955,31.79623204373153,0.5789314685608608,8.087630987167358,0.7412148399507918,1.8701030173314654
56,0020,page0020.clip,2880,5760,2936,5704,56,-56,0.06261284722222223,4784,5122,26.45883850565324,0.5738591418877423,7.684910774230957,0.6606434593536628,1.8608283220754502
57,0008,page0008.clip,1920,1920,1864,1784,-56,-136,0.03825520833333333,3274,9563,32.62328544786907,0.5692932582639322,7.739953994750977,0.6748665973411727,1.8383687702424036
58,0023,page0023.clip,0,4800,160,4944,160,144,0.012717013888888889,820,2440,10.100692035395095,0.6279955312774307,8.313316822052002,0.43415821677451627,1.8246408653963662
59,0032,page0032.clip,4481,2880,4369,2896,-112,16,0.018993055555555555,2690,4751,19.334148271239876,0.5926983315418478,8.270021438598633,0.6370608172677746,1.819136023803732
60,0005,page0005.clip,3840,1920,3872,2024,32,104,0.017821180555555555,1134,2391,15.817821072463234,0.6544108748483154,9.187570095062256,0.44941163036719267,1.79406965952288
61,0009,page0009.clip,3840,3840,3888,3760,48,-80,0.017682291666666666,1075,4351,23.549190726002173,0.598702710531031,8.178546667098999,0.5453064176706104,1.7940493533718431
62,0032,page0032.clip,1920,1920,1920,1976,0,56,0.03404079861111111,3031,4835,22.772229353182542,0.58493679067874,8.012789011001587,0.5873313097130706,1.7919911989638393
63,0009,page0009.clip,960,2880,960,2896,0,16,0.059453125,3340,7581,27.325584906660264,0.6010361908866768,8.75833511352539,0.63552883639725,1.761937000846106
64,0031,page0031.clip,1920,4800,2056,4952,136,152,0.025607638888888888,1998,3204,11.756109763039417,0.640410635115807,8.854411363601685,0.40485470505779786,1.7550546669049365
65,0032,page0032.clip,1920,4800,1920,4712,0,-88,0.0439453125,2902,5852,24.018654528236617,0.5554247215562502,8.326514959335327,0.7963317543997126,1.748886019433956
66,0025,page0025.clip,0,3840,16,3760,16,-80,0.010399305555555556,869,1694,19.667051944174347,0.5680545658149242,7.788431644439697,0.5826709868695106,1.7487232896822902
67,0008,page0008.clip,2880,4800,2816,4712,-64,-88,0.039088541666666664,2385,6744,24.755678828548707,0.5521814350820268,7.478978633880615,0.5910080350183213,1.737917876648668
