rank,sketch_page,line_page,model_index,region_index,score,edge_f1,edge_precision,edge_recall,chamfer,inlier_count,match_count,coverage,orientation_entropy,area_ratio,scale,angle,bbox,bbox_full,full_matrix,decision,notes
80,page0008,page0008,1,1,4.872708920824199,0.8339584624968225,0.7372818874416318,0.9598148148148148,2.4506093697831757,8,132,0.1875,0.8101519162704689,0.127208480565371,0.8934630795962241,0.03202934186332586,"(0, 0, 240, 240)","(0, 0, 2105, 2105)","[[0.8934629399923826, -0.0004994614467482756, -293.8984357215417], [0.0004994614467482756, 0.8934629399923826, -439.3609997988755]]",,
81,page0008,page0008,1,6,4.868517674123647,0.8332853289886174,0.7452615617892343,0.9448871181938912,2.7688487350588806,7,132,0.25,0.7891597389884446,0.127208480565371,0.8934630795962241,0.03202934186332586,"(280, 200, 520, 440)","(2456, 1754, 4560, 3859)","[[0.8934629399923826, -0.0004994614467482756, -293.8984357215417], [0.0004994614467482756, 0.8934629399923826, -439.3609997988755]]",,
82,page0051,page0051,1,5,4.843103021708361,0.8069330995428762,0.7262373162145371,0.9078036016623057,2.7985878057737685,9,152,0.3125,0.77886859248681,0.127208480565371,0.8998652593483542,0.11291480539815367,"(200, 280, 440, 520)","(1754, 2456, 3859, 4560)","[[0.8998635119019465, -0.0017733949295482196, 307.67334318713336], [0.0017733949295482196, 0.8998635119019465, 393.16418496661686]]",,
83,page0047,page0047,1,1,4.832850742758144,0.8177781282470938,0.7320288648348598,0.9262820512820513,2.564534525911434,8,133,0.25,0.772750071780769,0.127208480565371,1.0812677064301581,0.018981955228389864,"(40, 360, 280, 600)","(351, 3157, 2456, 5262)","[[1.0812676470912082, -0.00035822140814435136, -183.3980334119483], [0.00035822140814435136, 1.0812676470912082, -262.96059183959494]]",,
84,page0040,page0040,1,3,4.8289243974965865,0.8104791268705257,0.7336313119110897,0.9053103007037748,2.682286930749473,11,138,0.25,0.7997466891491152,0.127208480565371,0.8515231890678843,-1.2070168553220237,"(40, 440, 280, 680)","(351, 3859, 2456, 5964)","[[0.8513342456239907, 0.017937216845720652, 313.2844576642019], [-0.017937216845720652, 0.8513342456239907, 695.8199299498654]]",,
85,page0013,page0013,1,4,4.827287794292282,0.7960023153919332,0.6736336894256076,0.9726971869829013,3.591717922369215,9,133,0.4375,0.7913244883089667,0.127208480565371,1.0754914349469247,-0.03060426632234493,"(120, 0, 360, 240)","(1052, 0, 3157, 2105)","[[1.0754912815221018, 0.0005744685737253965, -303.1744698230185], [-0.0005744685737253965, 1.0754912815221018, -641.6320261298762]]",,
86,page0023,page0023,1,4,4.778672137485191,0.7940846607000461,0.7206725755995829,0.8841494978776271,2.783677980987782,7,158,0.3125,0.8083768064761697,0.2862190812720848,1.0720460993712293,-0.4924209322361007,"(0, 300, 360, 660)","(0, 2631, 3157, 5788)","[[1.0720065072710854, 0.009213443738143081, -242.51494127865652], [-0.009213443738143081, 1.0720065072710854, -180.07976487643538]]",,
87,page0051,page0051,1,7,4.778355099012424,0.8242353307085106,0.8253619204691223,0.8231118122658253,2.580423318630005,5,152,0.25,0.7290649661106315,0.127208480565371,0.8998652593483542,0.11291480539815367,"(40, 120, 280, 360)","(351, 1052, 2456, 3157)","[[0.8998635119019465, -0.0017733949295482196, 307.67334318713336], [0.0017733949295482196, 0.8998635119019465, 393.16418496661686]]",,
88,page0050,page0050,1,3,4.772618492647125,0.833309347716834,0.7628032345013477,0.9181766704416761,2.8002208293135475,6,126,0.1875,0.814195877548785,0.127208480565371,0.9142562600633063,0.32459032763024126,"(0, 520, 240, 760)","(0, 4560, 2105, 6665)","[[0.9142415889635788, -0.005179389374688618, -153.52962419475378], [0.005179389374688618, 0.9142415889635788, -213.22900450319713]]",,
89,page0051,page0051,1,2,4.731112130827045,0.8044021706524452,0.7965590634976942,0.8124012638230648,2.6170330637129995,5,152,0.25,0.8031209425000647,0.127208480565371,0.8998652593483542,0.11291480539815367,"(40, 440, 280, 680)","(351, 3859, 2456, 5964)","[[0.8998635119019465, -0.0017733949295482196, 307.67334318713336], [0.0017733949295482196, 0.8998635119019465, 393.16418496661686]]",,
