rank,name,sketch_page,line_page,region_rank,region_score,tile_score,edge_f1,edge_precision,edge_recall,chamfer,orientation_entropy,rough_std,line_ink,support,rough_edges,line_edges,tile_bbox,decision,notes
165,ako5r_0011_0011_0000_5308.jpg,page0011,page0011,76,4.9181950108032435,3.4333402081677766,0.6662228059884366,0.5489449003516998,0.847226256171943,6.234621524810791,0.7642765394590816,33.881239919831465,0.049019097222222224,1.0,6824,3443,"(0, 5308, 480, 5788)",,
166,ako5r_0023_0023_0960_4339.jpg,page0023,page0023,91,4.705332270546789,3.4331682900456135,0.6716704615543859,0.6094296891085031,0.7480705622932745,6.3292341232299805,0.7935787079220775,21.990540954550564,0.04857638888888889,1.0,4857,3628,"(960, 4339, 1440, 4819)",,
167,ako5r_0018_0018_2206_2400.jpg,page0018,page0018,1,6.233926313833417,3.4327496023422532,0.6212623276703182,0.6172704985017706,0.6253061224489795,6.124680042266846,0.8142174655550396,20.215055362881188,0.016358506944444445,1.0,3671,3675,"(2206, 2400, 2686, 2880)",,
168,ako5r_0052_0052_2234_4819.jpg,page0052,page0052,79,4.882377994135488,3.4278866999367215,0.6622450116571919,0.5677003712601004,0.7945729375341468,6.311891555786133,0.8083540671095815,44.09609316850558,0.0668142361111111,1.0,9158,5491,"(2234, 4819, 2714, 5299)",,
169,ako5r_0021_0021_2492_2456.jpg,page0021,page0021,135,4.229800452721242,3.4252332610096055,0.6552176340682107,0.5593711673542201,0.7907018813314037,5.642268180847168,0.8039108236622488,35.46347371523409,0.05145399305555556,1.0,8969,5528,"(2492, 2456, 2972, 2936)",,
170,ako5r_0011_0011_2926_2686.jpg,page0011,page0011,5,6.001782141534989,3.42434626057904,0.6500137764244243,0.5901226079981666,0.7234347048300537,6.167354583740234,0.6346853690062071,29.864259414237797,0.1060373263888889,1.0,8727,5590,"(2926, 2686, 3406, 3166)",,
171,ako5r_0020_0020_2954_2954.jpg,page0020,page0020,64,4.995646176300281,3.4242673849415723,0.6504991019100087,0.5342648845686513,0.8313716070141725,6.113949298858643,0.8065185108977692,38.25070012905446,0.0428515625,1.0,8230,4163,"(2954, 2954, 3434, 3434)",,
172,ako5r_0011_0011_3487_1726.jpg,page0011,page0011,11,5.650327630387615,3.4217010970315083,0.6413696577801059,0.6268968133535661,0.6565265486725663,6.230237007141113,0.7666888312513238,21.758294769833014,0.03655815972222222,1.0,5272,3616,"(3487, 1726, 3967, 2206)",,
173,ako5r_0008_0008_2640_3499.jpg,page0008,page0008,75,4.921540074673752,3.4205396447984464,0.6630213944118692,0.6960109103307194,0.633017633017633,5.850817680358887,0.6717064970122694,40.839417620646685,0.14693576388888888,1.0,14665,12987,"(2640, 3499, 3120, 3979)",,
174,ako5r_0021_0021_3379_3859.jpg,page0021,page0021,21,5.4151400026440735,3.419419433454394,0.6483320223077864,0.5921250375713857,0.7163289630512515,6.0688371658325195,0.7240696933566938,29.904189877533003,0.07208333333333333,1.0,6654,4195,"(3379, 3859, 3859, 4339)",,
175,ako5r_0027_0027_0720_1819.jpg,page0027,page0027,10,5.6979429613541415,3.4170203068053198,0.6314642670071668,0.5516713447307987,0.7382425742574258,6.189070701599121,0.8035270848577355,40.3607864420882,0.09338107638888889,1.0,15676,9696,"(720, 1819, 1200, 2299)",,
176,ako5r_0051_0051_3019_4403.jpg,page0051,page0051,61,5.006758845385407,3.4114787171815624,0.6520764025482413,0.5133649995343206,0.8935005701254276,6.074868679046631,0.7688207668023388,34.791798366346534,0.03979166666666667,1.0,10737,4385,"(3019, 4403, 3499, 4883)",,
177,ako5r_0027_0027_0960_3979.jpg,page0027,page0027,10,5.6979429613541415,3.410927868611785,0.6373128364413475,0.6331266441187523,0.6415547548859045,6.061027526855469,0.7273471844662752,32.49285673520669,0.06452256944444444,1.0,10644,9159,"(960, 3979, 1440, 4459)",,
178,ako5r_0041_0041_2012_5760.jpg,page0041,page0041,56,5.028232568217061,3.409267797712574,0.6531911393566551,0.5696533682145193,0.7654404319946001,5.873481750488281,0.7047169572429951,24.250064974594903,0.04094184027777778,1.0,4587,2963,"(2012, 5760, 2492, 6240)",,
179,ako5r_0037_0037_1791_2696.jpg,page0037,page0037,59,5.00817502940306,3.405560507934111,0.6424250179116641,0.5372609673790776,0.798778869126626,5.942612648010254,0.7884146169592284,27.077718891446576,0.027769097222222223,1.0,7112,3767,"(1791, 2696, 2271, 3176)",,
180,ako5r_0043_0043_3203_4791.jpg,page0043,page0043,53,5.066938529840509,3.4011100526650826,0.6513514621783003,0.5857843137254902,0.733446519524618,6.228926658630371,0.7876216175294742,28.557563361693965,0.03931423611111111,1.0,4896,4123,"(3203, 4791, 3683, 5271)",,
181,ako5r_0011_0011_3487_1006.jpg,page0011,page0011,11,5.650327630387615,3.4001638562984384,0.6302045971895704,0.6180527106377168,0.6428439177930013,6.226710319519043,0.8086672371203156,25.621009543905338,0.14246961805555555,1.0,7323,5401,"(3487, 1006, 3967, 1486)",,
182,ako5r_0034_0034_2446_1726.jpg,page0034,page0034,33,5.2901031734822475,3.39739924274238,0.6402883667825111,0.5733449477351916,0.7249308688691602,5.981618881225586,0.7484571363157555,39.62623028238279,0.10413194444444444,1.0,11480,6871,"(2446, 1726, 2926, 2206)",,
183,ako5r_0033_0033_1246_2446.jpg,page0033,page0033,25,5.374739131042966,3.3970893897813452,0.6521794598491962,0.5985915492957746,0.7163055171353927,6.484790802001953,0.7836742265991373,34.38009827218046,0.06786024305555556,1.0,9514,6507,"(1246, 2446, 1726, 2926)",,
184,ako5r_0030_0030_1772_5059.jpg,page0030,page0030,105,4.609157734963118,3.3922820731810095,0.6578856960809967,0.6126330483336242,0.7103567888999008,6.169384002685547,0.8066959163358352,29.140496697007606,0.040889756944444446,1.0,5731,4036,"(1772, 5059, 2252, 5539)",,
185,ako5r_0011_0011_2677_2871.jpg,page0011,page0011,76,4.9181950108032435,3.3884408892490714,0.6597629569472995,0.5945708426911435,0.741011673151751,6.4517974853515625,0.8028204374529999,33.855032529625404,0.14727430555555557,1.0,10241,6425,"(2677, 2871, 3157, 3351)",,
186,ako5r_0033_0033_1486_2206.jpg,page0033,page0033,25,5.374739131042966,3.387480513410341,0.6326667235273685,0.5529318313113807,0.7392726815150371,6.195253372192383,0.8212333756944128,38.32242508099013,0.06274739583333333,1.0,13848,7947,"(1486, 2206, 1966, 2686)",,
187,ako5r_0041_0041_2714_5299.jpg,page0041,page0041,44,5.157107909613138,3.386320980957624,0.6518878814396343,0.5840326340326341,0.7375832540437678,6.315587043762207,0.770540995087404,28.80262802045359,0.06555121527777778,1.0,8580,5255,"(2714, 5299, 3194, 5779)",,
188,ako5r_0042_0042_3194_4579.jpg,page0042,page0042,66,4.97599695473533,3.3818318790767736,0.6448770823604469,0.5384946854352197,0.8036403750689465,5.981423377990723,0.7591644995779798,37.20733374737192,0.05393229166666667,1.0,6962,3626,"(3194, 4579, 3674, 5059)",,
